"Contact Form Grid","Contact Form Grid"
"Nishu Custom Page","Nishu Custom Page"
"Hello From Nishu!!","Hello From Nishu!!"
"Place Order","Place Order"
"Dev API - Products","Dev API - Products"
"Get product","Get product"
"Set description","Set description"
"Customer Management","Customer Management"
"Feedback Settings","Feedback Settings"
"General Configuration","General Configuration"
"Enable Feedback Module","Enable Feedback Module"
"Feedback Display Text","Feedback Display Text"
"Feedback Email Address","Feedback Email Address"
"Feedback Visibility","Feedback Visibility"
"Feedback Limit","Feedback Limit"
"Custom Payment Method","Custom Payment Method"
Enable,Enable
"Custom Payment","Custom Payment"
"My Customized Shipping","My Customized Shipping"
Enabled,Enabled
"Method Name","Method Name"
Price,Price
"Calculate Handling Fee","Calculate Handling Fee"
"Handling Fee","Handling Fee"
"Sort Order","Sort Order"
Title,Title
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Displayed Error Message","Displayed Error Message"
